Chainage,Left Boundary,Right Boundary
608.650,103.9,0
608.700,62.4,0
608.750,16.09,16.04
608.800,16.6,"15.440"
608.850,17.2,14.63
608.900,17.66,13.32
,17.06,14.4
609000,16.12,16.17
609050,15.44,16.9
609100,13.74,19.3
609150,12.35,20.7
609200,12.06,20.7
609250,11.69,19.9
609300,11.12,22.64
609350,10.21,9.53
609400,9.12,10.37
609450,8.76,10.86
609500,8.15,11.4
609550,8.02,11
609600,8.03,11.74
609650,8.04,12.62
609700,8.11,11.73
609750,8.25,11.87
609800,8.34,12.67
609850,8.44,12.6
609900,8.5,11.06
609950,8.52,12.32
610000,8.53,12.53
610050,8.28,12.26
610100,8.75,12.23