Point Name,Code,Northing,Easting,Elevation,
CALBRTN69,609 OM ST,995995.18,814918.769,87.861,
CALBRTN9,BED LEVEL ,996451.169,814831.522,86.657,
CALBRTN11,BED LEVEL ,996467.042,814825.962,86.520,
CALBRTN13,BED LEVEL ,996477.662,814823.296,86.499,
CALBRTN58,BED LEVEL ,996146.254,814891.956,85.119,
CALBRTN109,BO,995536.094,814958.393,87.895,
CALBRTN75,BO ST,995935.477,814946.216,86.649,
CALBRTN76,BO ST,995797.019,814969.233,87.056,
CALBRTN54,BOX CUV 1645,996147.671,814890.745,87.433,
CALBRTN55,BOX CUV 1645,996147.78,814891.28,87.437,
CALBRTN56,BOX CUV 1645,996145.121,814891.275,87.488,
CALBRTN57,BOX CUV 1645,996145.205,814891.781,87.481,
CALBRTN64,BOX CUV 1646,996035.331,814916.458,87.407,
CALBRTN65,BOX CUV 1646,996035.45,814917.043,87.419,
CALBRTN66,BOX CUV 1646,996033.597,814916.827,87.420,
CALBRTN67,BOX CUV 1646,996033.752,814917.415,87.411,
CALBRTN192,CC FEN,996256.503,814834.115,89.097,
CALBRTN193,CC FEN,996237.135,814838.137,89.043,
CALBRTN187,CCRE FEN,996292.862,814826.2,88.920,
CALBRTN102,DL GJ,995567.293,814941.424,89.104,
CALBRTN35,DL L ATS,996689.761,814758.438,88.148,
CALBRTN105,DL L ATS,995545.435,814941.904,89.204,
CALBRTN40,DL L AXIL COUNTER ,996711.286,814753.078,88.144,
CALBRTN115,DL L AXIL COUNTER ,995373.744,814923.235,90.086,
CALBRTN95,DL L SEJ 11B,995621.698,814943.519,88.845,
CALBRTN120,DL L SEJ 1A,995504.04,814938.73,89.364,
CALBRTN106,DL L SEJ 65B,995544.272,814941.841,89.206,
CALBRTN15,DL L SEJ NO 2,996526.057,814799.433,87.991,
CALBRTN42,DL L SEJ NO 8A,996739.652,814746.028,88.117,
CALBRTN36,DL L SRJ 50B,996690.888,814758.181,88.142,
CALBRTN34,DL R ATS,996689.4,814756.771,88.150,
CALBRTN104,DL R ATS,995545.511,814940.121,89.148,
CALBRTN39,DL R AXIL COUNTER ,996712.086,814751.109,88.149,
CALBRTN114,DL R AXIL COUNTER ,995372.233,814921.227,90.083,
CALBRTN33,DL R FISH,996677.387,814759.771,88.151,
CALBRTN103,DL R FISH,995557.834,814940.889,89.126,
CALBRTN19,DL R GJ,996564.982,814787.821,88.121,
CALBRTN32,DL R GJ,996668.205,814762.065,88.169,
CALBRTN38,DL R GJ,996694.01,814755.627,88.141,
CALBRTN45,DL R GJ,996870.958,814712.91,88.220,
CALBRTN47,DL R GJ,996937.264,814698.493,88.294,
CALBRTN83,DL R GJ,995721.772,814943.126,88.594,
CALBRTN108,DL R GJ,995541.077,814939.857,89.157,
CALBRTN113,DL R GJ,995353.178,814918.524,90.167,
CALBRTN116,DL R GJ,995404.364,814925.575,89.870,
CALBRTN25,DL R HOC,996651.755,814766.149,88.181,
CALBRTN29,DL R HOC,996655.968,814765.106,88.184,
CALBRTN98,DL R HOC,995584.285,814942.267,89.034,
CALBRTN101,DL R HOC,995579.919,814942.089,89.070,
CALBRTN41,DL R SEJ,996739.278,814744.316,88.127,
CALBRTN94,DL R SEJ 11B,995621.69,814945.256,88.876,
CALBRTN119,DL R SEJ 1A,995504.21,814936.929,89.330,
CALBRTN107,DL R SEJ 65B,995544.354,814940.063,89.151,
CALBRTN14,DL R SEJ NO 2,996525.661,814797.699,87.995,
CALBRTN37,DL R SRJ 50B,996690.517,814756.496,88.157,
CALBRTN23,FM,996620.098,814772.713,88.131,
CALBRTN4,FOB CUV,996440.684,814826.751,87.116,
CALBRTN5,FOB CUV,996432.54,814828.684,87.124,
CALBRTN6,FOB CUV,996432.646,814829.271,87.818,
CALBRTN63,GP 400 UP L,996102.194,814897.41,87.850,
CALBRTN43,GP L 798 DW,996775.683,814739.29,88.288,
CALBRTN16,KDU AT2,996548.229,814796.974,88.482,
CALBRTN87,LC 455 WING SHED,995701.495,814949.815,88.146,
CALBRTN88,LC 455 WING SHED,995701.525,814952.336,88.182,
CALBRTN89,LC 455 WING SHED,995699.662,814949.823,88.108,
CALBRTN21,LC GATE,996579.828,814792.196,88.971,
CALBRTN86,LC GATE,995716.319,814948.829,88.871,
CALBRTN20,LC GATE LOCK,996572.113,814794.205,88.604,
CALBRTN85,LC GATE LOCK,995709.064,814949.419,88.562,
CALBRTN90,LC ROOM 45,995696.086,814951.09,88.880,
CALBRTN91,LC ROOM 45,995699.057,814951.068,88.993,
CALBRTN92,LC ROOM 45,995696.183,814956.644,87.947,
CALBRTN26,LP L HOC,996651.716,814766.001,88.187,
CALBRTN28,LP L HOC,996656.003,814765.314,88.177,
CALBRTN97,LP L HOC,995584.285,814942.112,89.030,
CALBRTN100,LP L HOC,995579.928,814942.294,89.068,
CALBRTN24,LP R GJ,996638.541,814766.255,88.231,
CALBRTN96,LP R GJ,995596.405,814939.78,88.938,
CALBRTN182,LUS CUV,996432.822,814793.146,88.307,
CALBRTN183,LUS CUV,996432.717,814792.709,88.323,
CALBRTN184,LUS CUV,996424.677,814795.11,88.301,
CALBRTN27,NOSE,996654.299,814765.549,88.168,
CALBRTN99,NOSE,995581.665,814942.189,89.037,
CALBRTN194,OLD WATER TANK ,996230.035,814834.865,88.689,
CALBRTN195,OLD WATER TANK ROOM,996231.233,814839.928,88.726,
CALBRTN196,OLD WATER TANK ROOM,996237.217,814838.608,88.566,
CALBRTN17,OM 608 18A,996555.057,814795.032,88.589,
CALBRTN68,OM 608 42,996018.511,814914.85,88.138,
CALBRTN44,OM 608 6,996852.452,814721.527,88.859,
CALBRTN70,OM 609 2,995979.849,814923.176,87.582,
CALBRTN125,PLF COP,995857.5,814933.254,89.071,
CALBRTN126,PLF COP,995863.282,814932.709,89.012,
CALBRTN127,PLF COP,995870.127,814931.967,89.029,
CALBRTN128,PLF COP,995881.646,814930.679,88.972,
CALBRTN129,PLF COP,995887.301,814930.055,88.948,
CALBRTN130,PLF COP,995894.032,814929.283,88.931,
CALBRTN131,PLF COP,995903.558,814928.077,88.923,
CALBRTN132,PLF COP,995911.932,814926.989,88.906,
CALBRTN133,PLF COP,995921.219,814925.704,88.864,
CALBRTN134,PLF COP,995929.804,814924.515,88.823,
CALBRTN135,PLF COP,995941.433,814922.782,88.780,
CALBRTN136,PLF COP,995950.851,814921.341,88.762,
CALBRTN137,PLF COP,995959.919,814919.996,88.743,
CALBRTN138,PLF COP,995966.939,814918.853,88.764,
CALBRTN139,PLF COP,995972.584,814917.906,88.725,
CALBRTN140,PLF COP,995977.47,814917.067,88.700,
CALBRTN141,PLF COP,995984.644,814915.826,88.652,
CALBRTN142,PLF COP,995991.964,814914.522,88.597,
CALBRTN144,PLF COP,996001.312,814912.784,88.549,
CALBRTN145,PLF COP,996009.375,814911.308,88.538,
CALBRTN146,PLF COP,996016.122,814910.045,88.544,
CALBRTN147,PLF COP,996022.115,814908.889,88.554,
CALBRTN148,PLF COP,996035.272,814906.336,88.549,
CALBRTN149,PLF COP,996044.301,814904.512,88.541,
CALBRTN150,PLF COP,996054.678,814902.41,88.575,
CALBRTN151,PLF COP,996063.762,814900.544,88.586,
CALBRTN152,PLF COP,996073.059,814898.644,88.606,
CALBRTN153,PLF COP,996083.075,814896.569,88.604,
CALBRTN154,PLF COP,996093.273,814894.396,88.616,
CALBRTN155,PLF COP,996101.753,814892.561,88.650,
CALBRTN156,PLF COP,996127.201,814887.069,88.686,
CALBRTN157,PLF COP,996143.625,814883.521,88.727,
CALBRTN158,PLF COP,996158.09,814880.391,88.761,
CALBRTN159,PLF COP,996178.079,814876.06,88.778,
CALBRTN160,PLF COP,996203.168,814870.664,88.803,
CALBRTN161,PLF COP,996230.489,814864.732,88.781,
CALBRTN162,PLF COP,996243.505,814861.861,88.740,
CALBRTN163,PLF COP,996268.991,814856.365,88.726,
CALBRTN164,PLF COP,996291.545,814851.503,88.710,
CALBRTN165,PLF COP,996311.59,814847.153,88.740,
CALBRTN166,PLF COP,996326.885,814843.844,88.689,
CALBRTN167,PLF COP,996345.093,814839.909,88.741,
CALBRTN168,PLF COP,996354.448,814837.837,88.733,
CALBRTN169,PLF COP,996363.52,814835.856,88.735,
CALBRTN170,PLF COP,996372.582,814833.866,88.747,
CALBRTN171,PLF COP,996378.749,814832.486,88.743,
CALBRTN172,PLF COP,996384.9,814831.147,88.749,
CALBRTN173,PLF COP,996390.949,814829.736,88.753,
CALBRTN174,PLF COP,996401.215,814827.38,88.784,
CALBRTN175,PLF COP,996411.068,814825.083,88.808,
CALBRTN176,PLF COP,996418.986,814823.213,88.779,
CALBRTN177,PLF COP,996424.795,814821.845,88.815,
CALBRTN178,PLF COP,996429.916,814820.606,88.811,
CALBRTN179,PLF COP,996434.083,814819.606,88.802,
CALBRTN123,PLF RAMB,995851.133,814933.613,88.949,
CALBRTN122,PLF RAMB END,995843.152,814934.375,88.193,
CALBRTN181,PLF RAMB END,996442.343,814817.521,87.980,
CALBRTN124,PLF RAMB ST,995852.878,814933.679,89.095,
CALBRTN180,PLF RAMB ST,996434.049,814819.422,88.804,
CALBRTN30,RIVER BR CUV,996654.696,814772.249,88.247,
CALBRTN31,RIVER BR CUV,996654.588,814771.741,88.241,
CALBRTN22,SIG,996580.4,814794.138,88.777,
CALBRTN84,SIG,995716.83,814952.83,88.860,
CALBRTN121,SIG SH 17,995533.946,814937.403,89.095,
CALBRTN93,SR BO FEN,995694.71,814960.209,88.087,
CALBRTN110,SR BO ST,995449.471,814945.837,88.870,
CALBRTN111,SR BO ST,995416.731,814940.708,89.074,
CALBRTN112,SR BO ST,995364.299,814933.536,89.435,
CALBRTN48,SR BO STONE,996855.321,814734.18,86.474,
CALBRTN49,SR BO STONE,996782.521,814769.115,85.953,
CALBRTN50,SR BO STONE,996563.585,814878.827,85.454,
CALBRTN51,SR BO STONE,996504.692,814892.419,85.831,
CALBRTN52,SR BO STONE,996366.877,814925.133,85.975,
CALBRTN117,SR SIG 8,995414.019,814930.927,90.174,
CALBRTN46,ST SIG 1A 1B,996879.398,814715.201,89.131,
CALBRTN81,ST SIG 2,995725.42,814947.043,88.534,
CALBRTN82,ST SIG 3,995723.248,814940.597,88.556,
CALBRTN1,STK,996492.117,814806.75,87.831,
CALBRTN3,STK,996492.116,814806.731,87.820,
CALBRTN18,STOP BOARD,996561.968,814786.774,88.652,
CALBRTN185,TOILET ,996311.992,814819.607,88.782,
CALBRTN186,TOILET ,996309.608,814819.995,89.404,
CALBRTN188,TOILET ,996261.617,814830.784,88.868,
CALBRTN189,TOILET ,996261.131,814828.502,88.759,
CALBRTN190,TOILET ,996259.264,814828.779,88.491,
CALBRTN191,TOILET ,996259.713,814831.178,88.700,
CALBRTN59,TP,996126.567,814891.865,88.022,
CALBRTN60,TP,996127.168,814894.381,88.282,
CALBRTN61,TP,996123.4,814895.18,88.296,
CALBRTN62,TP,996122.877,814892.699,88.069,
CALBRTN71,TP,995934.062,814928.483,88.202,
CALBRTN72,TP,995934.455,814930.979,88.459,
CALBRTN73,TP,995930.714,814931.611,88.450,
CALBRTN74,TP,995930.294,814929.091,88.212,
CALBRTN77,TP,995747.809,814946.2,88.796,
CALBRTN78,TP,995747.848,814948.704,89.084,
CALBRTN79,TP,995744.023,814948.775,89.103,
CALBRTN80,TP,995743.998,814946.24,88.813,
CALBRTN7,UC DRN ,996450.43,814831.132,87.370,
CALBRTN8,UC DRN ,996450.828,814832.232,87.369,
CALBRTN10,UC DRN ,996466.731,814825.31,87.238,
CALBRTN12,UC DRN ,996477.373,814822.642,87.182,
CALBRTN118,X MARK,995491.536,814936.719,89.195,
CALBRTN143,X MARK ,995994.637,814915.741,87.579,
